Plant_ID	Block	Genotype	Site	Obs	Date	Stg	TCO	H	rosLN	rosDLN	rosAD	DamPC
kw_0422	a.09	LTM	ALD	RK		FS	0	270	3	2	10	6.666666667
kw_0423	a.09	PCS	ALD	RK		SO	0	244	1	0	0	0
kw_0424	a.09	HMC	ALD	RK		FO	0	232	0	0	0	0
kw_0425	a.09	MIL	ALD	RK		X						
kw_0426	a.09	VNH	ALD	RK		FS	0	313	7	5	20	14.28571429
kw_0427	a.09	BVC	ALD	RK		X						
kw_0428	a.09	BVM	ALD	RK		FS	0	352	3	3	20	20
kw_0429	a.09	THT	ALD	RK		R	0	66	15	10	20	13.33333333
kw_0430	a.09	BHM	ALD	RK		FS	1	211	0	0	0	0
kw_0431	a.09	BNK	ALD	RK		R	0	37	10	2	10	2
kw_0432	a.09	MAH	ALD	RK		FO	1	98	8	0	0	0
kw_0433	a.09	WHC	ALD	RK		X						
kw_0434	a.09	WHC	ALD	RK		X						
kw_0435	a.09	DDW	ALD	RK		X						
kw_0436	a.09	MFP	ALD	RK		X						
kw_0437	a.09	MIL	ALD	RK		FS	0	359	0	0	0	0
kw_0438	a.09	MAH	ALD	RK		B	1	103	13	2	20	3.076923077
kw_0439	a.09	PAR	ALD	RK		B	1	198	16	1	30	1.875
kw_0440	a.09	FLF	ALD	RK		SP	0	165	2	2	30	30
kw_0441	a.09	EGM	ALD	RK		FS	0	384	0	0	0	0
kw_0442	a.09	FLF	ALD	RK		FO	0	122	0	0	0	0
kw_0443	a.09	RUB	ALD	RK		B	0	60	15	10	20	13.33333333
kw_0444	a.09	IRF	ALD	RK		FS	0	367	3	2	10	6.666666667
kw_0445	a.09	ECM	ALD	RK		FO	1	113	2	2	20	20
kw_0446	a.09	BHS	ALD	RK		X						
kw_0447	a.09	MFP	ALD	RK		X						
kw_0448	a.09	BVM	ALD	RK		X						
kw_0449	a.09	ECM	ALD	RK		B	1	109	0	0	0	0
